0,JOD400,AED780,5/3/2017,400
1,JOD401,AED781,5/3/2017,400
2,JOD402,AED782,5/3/2017,400
3,JOD403,AED783,5/3/2017,400
4,JOD404,AED784,5/3/2017,400
5,JOD405,AED785,5/3/2017,400
6,JOD406,AED786,5/3/2017,400
7,JOD407,AED787,5/3/2017,400
8,JOD408,AED788,5/3/2017,400
9,JOD409,AED789,5/3/2017,400
10,JOD4010,AED7810,5/3/2017,400
11,JOD4011,AED7811,5/3/2017,400
12,JOD4012,AED7812,5/3/2017,400
13,JOD4013,AED7813,5/3/2017,400
14,JOD4014,AED7814,5/3/2017,400
15,JOD4015,AED7815,5/3/2017,400
16,JOD4016,AED7816,5/3/2017,400
17,JOD4017,AED7817,5/3/2017,400
18,JOD4018,AED7818,5/3/2017,400
19,JOD4019,AED7819,5/3/2017,400
20,JOD4020,AED7820,5/3/2017,400
21,JOD4021,AED7821,5/3/2017,400
22,JOD4022,AED7822,5/3/2017,400
23,JOD4023,AED7823,5/3/2017,400
24,JOD4024,AED7824,5/3/2017,400
25,JOD4025,AED7825,5/3/2017,400
26,JOD4026,AED7826,5/3/2017,400
27,JOD4027,AED7827,5/3/2017,400
28,JOD4028,AED7828,5/3/2017,400
29,JOD4029,AED7829,5/3/2017,400
30,JOD4030,AED7830,5/3/2017,400
31,JOD4031,AED7831,5/3/2017,400
32,JOD4032,AED7832,5/3/2017,400
33,JOD4033,AED7833,5/3/2017,400
34,JOD4034,AED7834,5/3/2017,400
35,JOD4035,AED7835,5/3/2017,400
36,JOD4036,AED7836,5/3/2017,400
37,JOD4037,AED7837,5/3/2017,400
38,JOD4038,AED7838,5/3/2017,400
39,JOD4039,AED7839,5/3/2017,400
40,JOD4040,AED7840,5/3/2017,400
41,JOD4041,AED7841,5/3/2017,400
42,JOD4042,AED7842,5/3/2017,400
43,JOD4043,AED7843,5/3/2017,400
44,JOD4044,AED7844,5/3/2017,400
45,JOD4045,AED7845,5/3/2017,400
46,JOD4046,AED7846,5/3/2017,400
47,JOD4047,AED7847,5/3/2017,400
48,JOD4048,AED7848,5/3/2017,400
49,JOD4049,AED7849,5/3/2017,400
50,JOD4050,AED7850,5/3/2017,400
51,JOD4051,AED7851,5/3/2017,400
52,JOD4052,AED7852,5/3/2017,400
53,JOD4053,AED7853,5/3/2017,400
54,JOD4054,AED7854,5/3/2017,400
55,JOD4055,AED7855,5/3/2017,400
56,JOD4056,AED7856,5/3/2017,400
57,JOD4057,AED7857,5/3/2017,400
58,JOD4058,AED7858,5/3/2017,400
59,JOD4059,AED7859,5/3/2017,400
60,JOD4060,AED7860,5/3/2017,400
